,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Baseline Date Range,Baseline Mean Travel Time (Seconds),Baseline Range - Lower Bound Travel Time (Seconds),Baseline Range - Upper Bound Travel Time (Seconds),Comparison Date Range,Comparison Mean Travel Time (Seconds),Comparison Range - Lower Bound Travel Time (Seconds),Comparison Range - Upper Bound Travel Time (Seconds),Mean Difference,Percent Difference,Baseline Mean Travel Time (Minutes),Comparison Mean Travel Time (Minutes),Base Start,Base End,Comparison Start,Comparison End
43,1277,"300 Hayes Street, Civic Center, San Francisco",311,"200 Northgate Avenue, Westlake, Daly City",3/22/2020 - 3/29/2020,638,514,791,3/1/2020 - 3/8/2020,882,631,1232,-244,-27.66,10.63,14.7,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
44,1277,"300 Hayes Street, Civic Center, San Francisco",314,"200 Alta Mesa Drive, Serra Highlands, South San Francisco",3/22/2020 - 3/29/2020,938,767,1146,3/1/2020 - 3/8/2020,1182,859,1625,-244,-20.64,15.63,19.7,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
45,1277,"300 Hayes Street, Civic Center, San Francisco",315,"900 Veterans Boulevard, Redwood City",3/22/2020 - 3/29/2020,1498,1384,1621,3/1/2020 - 3/8/2020,1901,1484,2433,-403,-21.2,24.97,31.68,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
46,1277,"300 Hayes Street, Civic Center, San Francisco",321,"Nimitz Freeway, Downtown Oakland, Oakland",3/22/2020 - 3/29/2020,920,740,1143,3/1/2020 - 3/8/2020,1138,818,1581,-218,-19.16,15.33,18.97,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
47,1277,"300 Hayes Street, Civic Center, San Francisco",322,"300 Warwick Avenue, Adams Point, Oakland",3/22/2020 - 3/29/2020,852,727,997,3/1/2020 - 3/8/2020,1134,824,1559,-282,-24.87,14.2,18.9,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
48,1277,"300 Hayes Street, Civic Center, San Francisco",323,"900 Embarcadero West, West Oakland, Oakland",3/22/2020 - 3/29/2020,825,725,937,3/1/2020 - 3/8/2020,1031,776,1369,-206,-19.98,13.75,17.18,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
49,1277,"300 Hayes Street, Civic Center, San Francisco",328,"5000 Franklin Drive, Pleasanton",3/22/2020 - 3/29/2020,2122,1961,2295,3/1/2020 - 3/8/2020,2454,2024,2974,-332,-13.53,35.37,40.9,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
50,1277,"300 Hayes Street, Civic Center, San Francisco",338,"100 Hinman Road, Redwood City",3/22/2020 - 3/29/2020,1551,1374,1749,3/1/2020 - 3/8/2020,1927,1508,2462,-376,-19.51,25.85,32.12,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
51,1277,"300 Hayes Street, Civic Center, San Francisco",345,"400 Moffett Boulevard, Mountain View",3/22/2020 - 3/29/2020,2044,1885,2216,3/1/2020 - 3/8/2020,2504,2016,3109,-460,-18.37,34.07,41.73,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
52,1277,"300 Hayes Street, Civic Center, San Francisco",347,"900 Sycamore Drive, Midtown, Palo Alto",3/22/2020 - 3/29/2020,1927,1780,2085,3/1/2020 - 3/8/2020,2340,1882,2908,-413,-17.65,32.12,39.0,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
53,1277,"300 Hayes Street, Civic Center, San Francisco",385,"0 Valley View Road, Orinda",3/22/2020 - 3/29/2020,1174,1069,1288,3/1/2020 - 3/8/2020,1549,1184,2026,-375,-24.21,19.57,25.82,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
54,1277,"300 Hayes Street, Civic Center, San Francisco",387,"2100 Manchester Road, San Leandro",3/22/2020 - 3/29/2020,1567,1461,1680,3/1/2020 - 3/8/2020,1838,1476,2287,-271,-14.74,26.12,30.63,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
55,1277,"300 Hayes Street, Civic Center, San Francisco",388,"1700 Doolittle Drive, Davis Tract, San Leandro",3/22/2020 - 3/29/2020,1563,1127,2167,3/1/2020 - 3/8/2020,1569,1210,2034,-6,-0.38,26.05,26.15,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
56,1277,"300 Hayes Street, Civic Center, San Francisco",389,"1000 Burkhart Avenue, Washington Manor - Bonaire, San Leandro",3/22/2020 - 3/29/2020,1919,1329,2770,3/1/2020 - 3/8/2020,1731,1371,2185,188,10.86,31.98,28.85,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
57,1277,"300 Hayes Street, Civic Center, San Francisco",394,"3600 Page Street, Friendly Acres, Redwood City",3/22/2020 - 3/29/2020,1620,1516,1730,3/1/2020 - 3/8/2020,1972,1595,2436,-352,-17.85,27.0,32.87,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
58,1277,"300 Hayes Street, Civic Center, San Francisco",408,"1800 Hillside Boulevard, Colma",3/22/2020 - 3/29/2020,898,797,1010,3/1/2020 - 3/8/2020,1278,919,1775,-380,-29.73,14.97,21.3,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
59,1277,"300 Hayes Street, Civic Center, San Francisco",409,"200 Nelson Avenue, Edgemar - Pacific Manor, Pacifica",3/22/2020 - 3/29/2020,821,767,878,3/1/2020 - 3/8/2020,1149,796,1657,-328,-28.55,13.68,19.15,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
60,1277,"300 Hayes Street, Civic Center, San Francisco",417,"4400 Bell Avenue, Eastshore, Richmond",3/22/2020 - 3/29/2020,1072,881,1303,3/1/2020 - 3/8/2020,1581,1114,2243,-509,-32.19,17.87,26.35,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
61,1277,"300 Hayes Street, Civic Center, San Francisco",423,"200 Locust Avenue, San Rafael",3/22/2020 - 3/29/2020,1410,1287,1543,3/1/2020 - 3/8/2020,1737,1426,2115,-327,-18.83,23.5,28.95,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
62,1277,"300 Hayes Street, Civic Center, San Francisco",433,"600 Vanessa Drive, Central San Mateo, San Mateo",3/22/2020 - 3/29/2020,1209,1081,1350,3/1/2020 - 3/8/2020,1589,1205,2094,-380,-23.91,20.15,26.48,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
63,1277,"300 Hayes Street, Civic Center, San Francisco",434,"1300 Franklin Street, Western Addition, San Francisco",3/22/2020 - 3/29/2020,138,99,191,3/1/2020 - 3/8/2020,206,128,330,-68,-33.01,2.3,3.43,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
64,1277,"300 Hayes Street, Civic Center, San Francisco",443,"New Corona Heights Trail, The Castro, San Francisco",3/22/2020 - 3/29/2020,391,273,559,3/1/2020 - 3/8/2020,516,375,709,-125,-24.22,6.52,8.6,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
65,1277,"300 Hayes Street, Civic Center, San Francisco",445,"900 Divisadero Street, Western Addition, San Francisco",3/22/2020 - 3/29/2020,223,156,317,3/1/2020 - 3/8/2020,295,197,440,-72,-24.41,3.72,4.92,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
66,1277,"300 Hayes Street, Civic Center, San Francisco",447,"2600 Alvarado Street, Floresta Gardens - Bradrick, San Leandro",3/22/2020 - 3/29/2020,1682,1192,2372,3/1/2020 - 3/8/2020,1769,1335,2343,-87,-4.92,28.03,29.48,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
