,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),Mean Travel Time (Minute)
104,1277,"300 Hayes St, San Francisco, CA",645,"1400 Chestnut Street, Marina District, San Francisco",3/22/2020 - 3/29/2020,292,235,362,4.87
105,1277,"300 Hayes St, San Francisco, CA",646,"500 Clayton Street, Haight-Ashbury, San Francisco",3/22/2020 - 3/29/2020,297,219,401,4.95
106,1277,"300 Hayes St, San Francisco, CA",647,"800 Ashbury Street, Ashbury Heights, San Francisco",3/22/2020 - 3/29/2020,377,279,508,6.28
107,1277,"300 Hayes St, San Francisco, CA",648,"3800 19th Street, Dolores Heights, San Francisco",3/22/2020 - 3/29/2020,404,318,513,6.73
108,1277,"300 Hayes St, San Francisco, CA",649,"1000 Diamond Street, Noe Valley, San Francisco",3/22/2020 - 3/29/2020,653,501,850,10.88
109,1277,"300 Hayes St, San Francisco, CA",650,"700 Rhode Island Street, Potrero Hill, San Francisco",3/22/2020 - 3/29/2020,244,171,346,4.07
110,1277,"300 Hayes St, San Francisco, CA",651,"2900 22nd Street, Mission District, San Francisco",3/22/2020 - 3/29/2020,415,256,672,6.92
111,1277,"300 Hayes St, San Francisco, CA",652,"300 Hale Street, Excelsior, San Francisco",3/22/2020 - 3/29/2020,369,283,481,6.15
112,1277,"300 Hayes St, San Francisco, CA",653,"600 Lisbon Street, Excelsior, San Francisco",3/22/2020 - 3/29/2020,759,660,872,12.65
113,1277,"300 Hayes St, San Francisco, CA",659,"200 Staples Avenue, Outer Mission, San Francisco",3/22/2020 - 3/29/2020,497,399,617,8.28
114,1277,"300 Hayes St, San Francisco, CA",660,"1900 Lawton Street, Sunset District, San Francisco",3/22/2020 - 3/29/2020,600,498,722,10.0
115,1277,"300 Hayes St, San Francisco, CA",662,"1300 46th Avenue, Sunset District, San Francisco",3/22/2020 - 3/29/2020,718,641,803,11.97
116,1277,"300 Hayes St, San Francisco, CA",663,"200 21st Avenue, Central Richmond, San Francisco",3/22/2020 - 3/29/2020,699,631,773,11.65
117,1277,"300 Hayes St, San Francisco, CA",664,"700 32nd Avenue, Richmond District, San Francisco",3/22/2020 - 3/29/2020,644,569,728,10.73
118,1277,"300 Hayes St, San Francisco, CA",665,"0 Brookdale Avenue, Visitacion Valley, San Francisco",3/22/2020 - 3/29/2020,705,576,861,11.75
119,1277,"300 Hayes St, San Francisco, CA",666,"1200 El Camino Del Mar, Sea Cliff, San Francisco",3/22/2020 - 3/29/2020,858,762,966,14.3
120,1277,"300 Hayes St, San Francisco, CA",675,"200 Oriente Street, Bayshore Heights, Daly City",3/22/2020 - 3/29/2020,1084,586,2004,18.07
121,1277,"300 Hayes St, San Francisco, CA",676,"300 Citrus Avenue, Daly City",3/22/2020 - 3/29/2020,705,568,874,11.75
122,1277,"300 Hayes St, San Francisco, CA",677,"0 Ridgefield Avenue, St. Francis, Daly City",3/22/2020 - 3/29/2020,801,684,937,13.35
123,1277,"300 Hayes St, San Francisco, CA",678,"2500 Crestmoor Drive, San Bruno",3/22/2020 - 3/29/2020,998,777,1280,16.63
124,1277,"300 Hayes St, San Francisco, CA",680,"700 South Fremont Street, North Central, San Mateo",3/22/2020 - 3/29/2020,1210,1041,1406,20.17
125,1277,"300 Hayes St, San Francisco, CA",682,"1300 South Norfolk Street, Shoreview, San Mateo",3/22/2020 - 3/29/2020,1191,1025,1383,19.85
126,1277,"300 Hayes St, San Francisco, CA",684,"1100 Vailwood Way, South San Mateo, San Mateo",3/22/2020 - 3/29/2020,1347,1205,1504,22.45
127,1277,"300 Hayes St, San Francisco, CA",741,"1600 San Luis Avenue, Rex Manor, Mountain View",3/22/2020 - 3/29/2020,2007,1852,2174,33.45
128,1277,"300 Hayes St, San Francisco, CA",805,"1400 San Rafael Street, Estudillo Estates - Glen, San Leandro",3/22/2020 - 3/29/2020,1364,1266,1468,22.73
129,1277,"300 Hayes St, San Francisco, CA",808,"3000 Adeline Street, Clawson, Oakland",3/22/2020 - 3/29/2020,742,606,908,12.37
130,1277,"300 Hayes St, San Francisco, CA",809,"200 Santa Rosa Avenue, Grand Lake, Oakland",3/22/2020 - 3/29/2020,831,722,955,13.85
131,1277,"300 Hayes St, San Francisco, CA",810,"2700 Pleasant Street, School, Oakland",3/22/2020 - 3/29/2020,1004,868,1161,16.73
132,1277,"300 Hayes St, San Francisco, CA",812,"2000 Francisco Street, North Berkeley, Berkeley",3/22/2020 - 3/29/2020,1202,1072,1347,20.03
133,1277,"300 Hayes St, San Francisco, CA",813,"2500 Parker Street, Elmwood, Berkeley",3/22/2020 - 3/29/2020,1196,1077,1327,19.93
134,1277,"300 Hayes St, San Francisco, CA",814,"1400 168th Avenue, San Leandro",3/22/2020 - 3/29/2020,1571,1439,1714,26.18
135,1277,"300 Hayes St, San Francisco, CA",817,"400 Oxford Way, Belmont",3/22/2020 - 3/29/2020,1373,1198,1573,22.88
136,1277,"300 Hayes St, San Francisco, CA",818,"700 Bay Road, Staumbaugh Heller, Redwood City",3/22/2020 - 3/29/2020,1572,1447,1707,26.2
137,1277,"300 Hayes St, San Francisco, CA",843,"2400 Channing Way, Southside, Berkeley",3/22/2020 - 3/29/2020,1294,1145,1462,21.57
138,1277,"300 Hayes St, San Francisco, CA",858,"600 Geneva Avenue, Outer Mission, San Francisco",3/22/2020 - 3/29/2020,568,436,739,9.47
139,1277,"300 Hayes St, San Francisco, CA",859,"2200 24th Avenue, Sunset District, San Francisco",3/22/2020 - 3/29/2020,880,672,1152,14.67
140,1277,"300 Hayes St, San Francisco, CA",860,"2300 Cabrillo Street, Richmond District, San Francisco",3/22/2020 - 3/29/2020,579,508,659,9.65
141,1277,"300 Hayes St, San Francisco, CA",866,"0 Bernard Street, Nob Hill, San Francisco",3/22/2020 - 3/29/2020,367,267,502,6.12
142,1277,"300 Hayes St, San Francisco, CA",867,"2200 Post Street, Western Addition, San Francisco",3/22/2020 - 3/29/2020,279,187,415,4.65
143,1277,"300 Hayes St, San Francisco, CA",868,"500 Diamond Street, Noe Valley, San Francisco",3/22/2020 - 3/29/2020,595,423,835,9.92
144,1277,"300 Hayes St, San Francisco, CA",886,"4400 Telegraph Avenue, Temescal, Oakland",3/22/2020 - 3/29/2020,828,659,1039,13.8
145,1277,"300 Hayes St, San Francisco, CA",904,"400 North Fernwood Circle, Snail, Sunnyvale",3/22/2020 - 3/29/2020,2294,2115,2487,38.23
146,1277,"300 Hayes St, San Francisco, CA",905,"1000 Pine Street, Lower Nob Hill, San Francisco",3/22/2020 - 3/29/2020,300,212,423,5.0
147,1277,"300 Hayes St, San Francisco, CA",906,"2700 Octavia Street, Cow Hollow, San Francisco",3/22/2020 - 3/29/2020,243,190,309,4.05
148,1277,"300 Hayes St, San Francisco, CA",907,"2500 Turk Street, Richmond District, San Francisco",3/22/2020 - 3/29/2020,335,255,439,5.58
149,1277,"300 Hayes St, San Francisco, CA",908,"1200 18th Street, Potrero Hill, San Francisco",3/22/2020 - 3/29/2020,363,277,475,6.05
150,1277,"300 Hayes St, San Francisco, CA",909,"1400 40th Avenue, Sunset District, San Francisco",3/22/2020 - 3/29/2020,686,586,802,11.43
151,1277,"300 Hayes St, San Francisco, CA",910,"700 La Playa Street, Richmond District, San Francisco",3/22/2020 - 3/29/2020,735,642,841,12.25
