"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes St, San Francisco, CA","965","200 Topeka Avenue, Silver Terrace, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",651,461,917
"1277","300 Hayes St, San Francisco, CA","967","1400 32nd Avenue, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",634,537,747
"1277","300 Hayes St, San Francisco, CA","968","3200 Anza Street, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",645,560,741
"1277","300 Hayes St, San Francisco, CA","983","4100 Fairlands Drive, Pleasanton","3/22/2020 - 3/29/2020, Every day, Daily Average",2291,2132,2461
"1277","300 Hayes St, San Francisco, CA","1025","Briones to Mount Diablo Regional Trail, Walnut Creek","3/22/2020 - 3/29/2020, Every day, Daily Average",1448,1335,1570
"1277","300 Hayes St, San Francisco, CA","1030","5300 Lawton Avenue, Shafter, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",862,724,1025
"1277","300 Hayes St, San Francisco, CA","1031","1100 Cambridge Drive, Lafayette","3/22/2020 - 3/29/2020, Every day, Daily Average",1288,1188,1396
"1277","300 Hayes St, San Francisco, CA","1032","Shore Trail, Lafayette","3/22/2020 - 3/29/2020, Every day, Daily Average",1267,1156,1387
"1277","300 Hayes St, San Francisco, CA","1036","Wilder Road, Wilder, Orinda","3/22/2020 - 3/29/2020, Every day, Daily Average",1119,955,1310
"1277","300 Hayes St, San Francisco, CA","1038","Kestrel Loop Trail, Rodeo","3/22/2020 - 3/29/2020, Every day, Daily Average",1639,1410,1905
"1277","300 Hayes St, San Francisco, CA","1045","100 Pearl Street, Oakland Ave - Harrison St, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",847,736,974
"1277","300 Hayes St, San Francisco, CA","1046","300 Grand Avenue, Adams Point, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",875,747,1024
"1277","300 Hayes St, San Francisco, CA","1047","1700 Eastshore Boulevard, El Cerrito","3/22/2020 - 3/29/2020, Every day, Daily Average",1036,819,1309
"1277","300 Hayes St, San Francisco, CA","1048","Upper Fire Trail, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",1042,868,1249
"1277","300 Hayes St, San Francisco, CA","1050","3700 Towns Court, Pinole","3/22/2020 - 3/29/2020, Every day, Daily Average",1367,863,2163
"1277","300 Hayes St, San Francisco, CA","1053","500 Haddon Road, Cleveland Heights, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",910,782,1058
"1277","300 Hayes St, San Francisco, CA","1056","100 Lakeside Drive, Downtown Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1049,888,1238
"1277","300 Hayes St, San Francisco, CA","1057","6300 Brookside Avenue, Upper Rockridge, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",915,776,1078
"1277","300 Hayes St, San Francisco, CA","1059","900 East 22nd Street, Clinton, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1014,871,1179
"1277","300 Hayes St, San Francisco, CA","1060","3600 East 8th Street, South Kennedy Tract, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1067,885,1286
"1277","300 Hayes St, San Francisco, CA","1063","800 54th Avenue, Coliseum Industrial, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1142,921,1415
"1277","300 Hayes St, San Francisco, CA","1066","7200 Doolittle Drive, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1306,1047,1628
"1277","300 Hayes St, San Francisco, CA","1068","1600 Poplar Street, West Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",797,670,947
"1277","300 Hayes St, San Francisco, CA","1069","700 Hillside Avenue, Albany","3/22/2020 - 3/29/2020, Every day, Daily Average",932,765,1135
"1277","300 Hayes St, San Francisco, CA","1072","1700 Chestnut Street, Northwest Berkeley, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",978,871,1098
"1277","300 Hayes St, San Francisco, CA","1074","2300 Ninth Street, Southwest Berkeley, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",935,807,1082
"1277","300 Hayes St, San Francisco, CA","1080","Pier 2, Emeryville","3/22/2020 - 3/29/2020, Every day, Daily Average",727,581,909
"1277","300 Hayes St, San Francisco, CA","1082","2000 Clement Avenue, Alameda","3/22/2020 - 3/29/2020, Every day, Daily Average",1167,1080,1260
"1277","300 Hayes St, San Francisco, CA","1085","22200 Eden Canyon Road, Castro Valley","3/22/2020 - 3/29/2020, Every day, Daily Average",1782,1646,1928
"1277","300 Hayes St, San Francisco, CA","1087","900 Dowling Boulevard, Broadmoor, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1325,1224,1434
"1277","300 Hayes St, San Francisco, CA","1089","1700 Wayne Avenue, Davis Tract, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1478,1084,2014
"1277","300 Hayes St, San Francisco, CA","1090","200 Reva Avenue, Davis Tract, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1439,1060,1952
"1277","300 Hayes St, San Francisco, CA","1097","15500 Tracy Street, San Lorenzo","3/22/2020 - 3/29/2020, Every day, Daily Average",1528,1381,1689
"1277","300 Hayes St, San Francisco, CA","1098","600 Elgin Street, San Lorenzo","3/22/2020 - 3/29/2020, Every day, Daily Average",1483,1356,1620
"1277","300 Hayes St, San Francisco, CA","1099","30600 Palomares Road, Castro Valley","3/22/2020 - 3/29/2020, Every day, Daily Average",1742,1607,1887
"1277","300 Hayes St, San Francisco, CA","1119","0 Locust Avenue, Larkspur","3/22/2020 - 3/29/2020, Every day, Daily Average",1264,1100,1451
"1277","300 Hayes St, San Francisco, CA","1120","0 Spindrift Passage, Corte Madera","3/22/2020 - 3/29/2020, Every day, Daily Average",1248,1022,1522
"1277","300 Hayes St, San Francisco, CA","1121","300 Ridgewood Avenue, Mill Valley","3/22/2020 - 3/29/2020, Every day, Daily Average",1048,796,1379
"1277","300 Hayes St, San Francisco, CA","1211","700 Coleman Avenue, Menlo Park","3/22/2020 - 3/29/2020, Every day, Daily Average",1785,1656,1923
"1277","300 Hayes St, San Francisco, CA","1244","800 Jackson Street, Chinatown, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",430,334,552
"1277","300 Hayes St, San Francisco, CA","1245","500 Geary Street, Tenderloin, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",274,200,374
"1277","300 Hayes St, San Francisco, CA","1246","300 McAllister Street, Civic Center, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",104,51,209
"1277","300 Hayes St, San Francisco, CA","1247","100 Magnolia Street, Marina District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",297,228,385
"1277","300 Hayes St, San Francisco, CA","1257","2400 Octavia Street, Pacific Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",177,131,238
"1277","300 Hayes St, San Francisco, CA","1258","2600 Broadway, Pacific Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",378,275,519
"1277","300 Hayes St, San Francisco, CA","1259","2100 Divisadero Street, Pacific Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",385,301,491
